Iteration,Comp1,Comp2,Comp3,Comp4,Objective
0,0.398,0.584,0,0.018,0.582495238745
0,0.398,0.584,0,0.018,0.635726114931
0,0.398,0.584,0,0.018,0.648367521254
0,0.394478503724,0.581747915787,0.00296975893916,0.0208038215496,0.738495161569
0,0.382692181349,0.577447508658,0.0113381614668,0.0285221485259,0.747593565504
0,0.356870461122,0.608310270321,0.0101188952484,0.0247003733086,0.672441909162
0,0.362856469251,0.607725783139,0.00859170264785,0.0208260449624,0.718491760661
0,0.383385022672,0.591894217698,0.00717436454722,0.0175463950828,0.622591332107
0,0.408676491701,0.569568069699,0.00604586405935,0.0157095745407,0.626233268805
0,0.434210577101,0.543035095535,0.00524304218638,0.0175112851774,0.589098449705
0,0.462400058817,0.499550201289,0.00483281193989,0.0332169279539,0.781237937165
0,0.481269678106,0.445681769201,0.00566002643186,0.067388526261,0.776989949231
0,0.49211246942,0.4003816238,0.00847676191569,0.0990291448647,0.773603900617
0,0.501033250719,0.354729400932,0.0147835012137,0.129453847135,0.687086977934
0,0.508092059481,0.306884221577,0.0259356562508,0.159088062691,0.821710266224
0,0.513252724817,0.256834718373,0.04171349858,0.188199058229,0.700317519225
0,0.516687870877,0.209715407897,0.0589479439634,0.214648777262,0.780211813297
0,0.519162617923,0.169831784841,0.0745169719219,0.236488625314,0.730383173044
0,0.521172588811,0.137993140135,0.087212559646,0.253621711408,0.839814665925
0,0.522850219122,0.112991320973,0.0971957164769,0.266962743428,0.776847558477
0,0.524316490725,0.0923691349526,0.105400442457,0.277913931865,0.555835421522
0,0.525586787439,0.0753834258743,0.112127423931,0.286902362755,0.760079775568
0,0.526702780241,0.0611168257346,0.117751181506,0.294429212519,0.723834517302
0,0.528096021825,0.0441416197945,0.124406590205,0.303355768176,0.826843840211
1,0,0.298,0.602,0.1,0.787201806334
1,0.000199131480292,0.297797461549,0.601942278516,0.100061128455,0.809722357889
1,0.012571727635,0.285213180788,0.598355881171,0.103859210406,0.744147305825
1,0.0117988748459,0.238513412116,0.663908588931,0.0857791241074,0.7209073845
1,0.0095082921269,0.209548286244,0.712316771374,0.0686266502548,0.762383142681
1,0.00750568747191,0.205054374157,0.730454189525,0.056985748846,0.756689173012
1,0.00594775474548,0.210326718022,0.728437572873,0.055287954359,0.706481895968
1,0.00480002065655,0.209435761936,0.718830236006,0.0669339814012,0.645185027626
1,0.00402820343334,0.200830691566,0.705387635809,0.0897534691911,0.627655351284
1,0.00368834012926,0.187604382927,0.693044728255,0.115662548689,0.637055224083
1,0.0039337195607,0.171809050994,0.684135416025,0.140121813421,0.747737087523
1,0.00510462810449,0.154138090659,0.677998047269,0.162759233967,0.678074317534
1,0.00776468721452,0.135531181882,0.673499684538,0.183204446366,0.660658260476
1,0.0156708714228,0.110621953701,0.667340089642,0.206367085235,0.531030724376
1,0.0291548631599,0.0860744667696,0.658706465464,0.226064204606,0.686845407405
1,0.0420761207011,0.068718336081,0.650791676379,0.238413866839,0.755681189881
1,0.0545604883412,0.054545787123,0.643455247852,0.247438476684,0.814055662869
1,0.0653431446978,0.0431696612837,0.637309796011,0.254177398007,0.751201234646
1,0.0740861724305,0.0341478966375,0.632463286135,0.259302644797,0.739315202158
1,0.0807456761493,0.0272625994761,0.628878507074,0.2631132173,0.738746115769
1,0.0858722618945,0.0219012258119,0.626193143756,0.266033368538,0.739863558128
1,0.0899810511221,0.0175400475843,0.62410052103,0.268378380264,0.802447482877
1,0.0931705977613,0.0140945633067,0.622525850858,0.270208988074,0.802994377713
1,0.0966004845995,0.0103068009829,0.620897442722,0.272195271695,0.824974702958
2,0,0.247,0.704,0.049,0.858942387269
2,0,0.247,0.704,0.049,0.728849539042
2,0.00253098239277,0.247038570159,0.699279582966,0.0511508644823,0.850418998983
2,0.0108988997677,0.214861256992,0.723592745375,0.0506470978657,0.854253623366
2,0.0087559597374,0.180843198991,0.770526132383,0.0398747088888,0.610666666667
2,0.00776214349057,0.19130009001,0.768452381423,0.0324853850766,0.876654483195
2,0.0120919737837,0.220973024288,0.734722206912,0.0322127950154,0.772917921552
2,0.0338536941642,0.239086716138,0.681679126062,0.0453804636358,0.899522934778
2,0.0864098259132,0.244812508892,0.591631253859,0.0771464113362,0.772381571527
2,0.146526283745,0.24388444757,0.495545715085,0.1140435536,0.877766887149
2,0.190612780614,0.242644477835,0.426040631677,0.140702109874,0.733892350379
2,0.232984936151,0.24107218977,0.360093460584,0.165849413495,0.808990521459
2,0.273074260175,0.239099064343,0.298534311832,0.189292363649,0.856508920568
2,0.309319464148,0.237095517533,0.243082936193,0.210502082126,0.885791831239
2,0.340715040925,0.235548314635,0.194663619586,0.229073024854,0.891216603767
2,0.365160324543,0.234505398098,0.156758994046,0.243575283313,0.880038481898
2,0.399410916174,0.233236094627,0.103435857368,0.263917131831,0.784477541433
2,0.422220558662,0.232515170745,0.0677867845747,0.277477486019,0.820940368569
2,0.434465080058,0.232177450778,0.0485952980945,0.28476217107,0.865178684472
3,0.339,0.134,0,0.527,0.756604461743
3,0.339,0.134,0,0.527,0.676770631421
3,0.326487872857,0.131675246337,0.00869590489715,0.533140975909,0.665475939687
3,0.287253690158,0.113283102908,0.0151349823761,0.584328224559,0.711403639682
3,0.26464526208,0.087757072459,0.0117101196567,0.635887545804,0.684001233091
3,0.273516036046,0.0753096936438,0.00912960451565,0.642044665794,0.672395355899
3,0.233036972825,0.130367087155,0.0624630749107,0.574132865108,0.613138029181
3,0.20724311207,0.143505181912,0.106007706193,0.543243999824,0.522717974824
3,0.179818347226,0.155081940541,0.150021338604,0.515078373628,0.499167643782
3,0.151912150573,0.165415257964,0.192444124366,0.490228467097,0.639385439757
3,0.124696040089,0.174558833161,0.232477377826,0.468267748924,0.781010932471
3,0.0997177833798,0.182404309584,0.268926238694,0.448951668342,0.764873237852
3,0.0784884770513,0.18892026632,0.298778174584,0.433813082045,0.797277345174
3,0.061451764228,0.194124461866,0.321804438352,0.422619335554,0.888097839347
3,0.0483144844457,0.198104438247,0.339127209456,0.414453867851,0.742090969969
3,0.0380012031713,0.201205576824,0.352476558048,0.408316661957,0.706170784105
3,0.0300316438486,0.203586190039,0.362630460464,0.403751705649,0.787159506678
3,0.0238713120475,0.20541539931,0.370367909786,0.400345378856,0.810324445643
3,0.0190609804026,0.206835728681,0.376328440426,0.397774850491,0.823397073543
3,0.0152142596149,0.207965149903,0.381030226063,0.395790364419,0.875055031868
3,0.0107431743307,0.209268856062,0.386403624956,0.393584344651,0.877459236283
4,0.271271271271,0.413413413413,0,0.315315315315,0.705694810744
4,0.271271271271,0.413413413413,0,0.315315315315,0.699028998756
4,0.270708438279,0.410612010174,0.00462228182903,0.314057269718,0.833888932358
4,0.261342278077,0.418405307455,0.0120571613395,0.308195253129,0.846802174254
4,0.239100877345,0.446389807665,0.0139571413717,0.300552173618,0.814483515524
4,0.223017156269,0.462380172357,0.0124683698764,0.302134301498,0.789815760495
4,0.220675112162,0.452651742353,0.0142137256434,0.312459419842,0.795223661318
4,0.222658149437,0.428291475929,0.030271997296,0.318778377338,0.825830010588
4,0.216339695032,0.393323047508,0.0753358849533,0.315001372507,0.800657979271
4,0.205845167878,0.357077781761,0.129706415558,0.307370634802,0.791805300955
